order_id,product_id,category_id,state_id,size_id,payment_method_id,customer_type_id,quantity,discount_rate,purchase_date,sales,profit,customer_rating
O10035,P1007,C01,3,1,2,3,1,0.1,01-10-2024,48.843,19.30527278,5
O10036,P1002,C04,3,1,5,2,2,0.1,21-12-2023,97.686,27.99130147,4
O10037,P1004,C03,5,1,5,1,2,0,22-11-2024,108.54,35.29761978,5
O10038,P1004,C03,3,2,2,1,3,0.1,22-02-2024,146.529,58.0033626,2
O10039,P1007,C01,4,4,3,1,3,0.2,15-02-2024,130.248,34.44087906,3
O10040,P1006,C01,2,3,4,2,2,0,02-03-2024,108.54,32.51305628,4
O10041,P1006,C01,3,2,1,1,3,0.1,21-09-2023,146.529,73.02640657,2
O10042,P1007,C01,3,3,1,2,4,0,21-02-2024,217.08,52.19897392,2
O10043,P1006,C01,5,4,1,3,3,0.2,24-06-2025,130.248,49.60787296,5
O10044,P1003,C02,4,5,2,1,4,0.1,16-06-2025,195.372,59.85528341,2
O10045,P1004,C03,2,1,2,2,4,0,27-01-2023,217.08,82.70085987,1
O10046,P1007,C01,5,3,3,1,1,0.1,07-03-2023,48.843,11.5069901,1
O10047,P1004,C03,5,2,1,3,3,0,10-06-2024,162.81,49.6162443,1
O10048,P1001,C01,4,3,3,1,4,0,04-03-2023,217.08,70.80805252,2
O10049,P1003,C02,2,5,1,3,3,0.2,10-01-2023,130.248,26.82074305,3
O10050,P1005,C02,4,1,2,1,3,0.2,01-02-2025,130.248,54.15814006,4
O10051,P1003,C02,2,3,4,2,2,0.1,14-02-2023,97.686,46.93067081,1
O10052,P1007,C01,4,5,4,3,2,0.3,08-03-2023,75.978,26.2273678,1
O10053,P1005,C02,5,2,4,1,1,0.1,27-08-2024,48.843,18.20840908,1
O10054,P1001,C01,5,4,4,3,3,0,14-09-2023,162.81,59.21611113,5
O10055,P1007,C01,1,2,5,3,2,0.2,04-05-2024,86.832,27.262517,5
O10056,P1002,C04,3,1,1,2,4,0.2,06-02-2023,173.664,54.78465483,1
O10057,P1004,C03,4,2,4,2,4,0,08-04-2023,217.08,82.99418016,1
O10058,P1001,C01,1,2,5,2,1,0.3,28-12-2024,37.989,9.160549421,5
O10059,P1004,C03,3,2,5,2,4,0.2,20-09-2024,173.664,52.89153282,4
O10060,P1006,C01,4,2,5,3,3,0.3,01-02-2025,113.967,26.5573307,3
O10061,P1002,C04,2,1,3,3,4,0.2,21-07-2024,173.664,39.25741207,4
O10062,P1002,C04,3,5,3,1,1,0,23-03-2024,54.27,24.41099209,3
O10063,P1001,C01,5,3,5,1,1,0.1,24-07-2023,48.843,14.44929492,2
O10064,P1002,C04,1,4,4,1,4,0.1,19-11-2022,195.372,79.07612164,2
O10065,P1005,C02,3,3,1,2,3,0.3,29-07-2024,113.967,28.38590698,4
O10066,P1002,C04,3,3,2,3,2,0.1,28-09-2024,97.686,27.36619818,5
O10067,P1004,C03,5,4,3,3,3,0,30-09-2022,162.81,71.6975667,1
O10068,P1004,C03,4,1,4,1,3,0.1,20-12-2024,146.529,31.99911585,2
O10069,P1007,C01,2,4,4,1,3,0.3,29-08-2023,113.967,33.6152844,5
O10070,P1004,C03,5,1,2,3,4,0,04-01-2025,217.08,46.76121778,5
O10071,P1007,C01,2,3,2,2,2,0,17-05-2024,108.54,47.69536841,3
O10072,P1004,C03,4,1,4,1,3,0.2,14-03-2024,130.248,31.14079526,2
O10073,P1005,C02,3,5,2,1,2,0.2,21-10-2024,86.832,26.01297026,4
O10074,P1007,C01,2,4,4,3,1,0.1,06-01-2023,48.843,16.32889977,5
O10075,P1003,C02,1,5,2,3,2,0.3,07-11-2022,75.978,19.28672127,4
O10076,P1006,C01,1,3,2,1,4,0,19-01-2024,217.08,67.32537223,4
O10077,P1001,C01,5,4,4,1,1,0.1,14-12-2023,48.843,14.60991581,2
O10078,P1004,C03,4,3,5,2,1,0.1,09-05-2023,48.843,20.7044903,4
O10079,P1002,C04,5,5,4,2,3,0.2,19-03-2023,130.248,33.19811735,4
O10080,P1004,C03,5,3,1,2,2,0.1,06-03-2025,97.686,29.78535907,1
O10081,P1002,C04,5,4,2,2,1,0.1,11-10-2022,48.843,12.0487498,4
O10082,P1006,C01,1,4,3,1,1,0.2,04-04-2023,43.416,17.12943158,1
O10083,P1006,C01,1,3,2,1,2,0.1,26-08-2024,97.686,39.12196949,2
O10084,P1006,C01,5,4,1,1,2,0.1,08-12-2022,97.686,48.1425045,4
O10085,P1002,C04,1,4,3,2,1,0,21-01-2023,54.27,14.62133667,5
O10086,P1004,C03,4,3,3,1,1,0.1,29-12-2022,48.843,19.58143632,4
O10087,P1006,C01,5,5,4,3,2,0.2,09-03-2024,86.832,34.89225022,1
O10088,P1005,C02,1,4,5,2,4,0.2,26-04-2023,173.664,50.95208769,5
O10089,P1007,C01,2,4,4,3,2,0,06-09-2024,108.54,46.03608038,2
O10090,P1002,C04,5,4,3,2,4,0.2,09-11-2022,173.664,39.47275986,3
O10091,P1002,C04,5,4,3,1,1,0.2,16-10-2024,43.416,14.69979808,3
O10092,P1004,C03,4,3,5,2,3,0.2,15-11-2023,130.248,27.24225869,1
O10093,P1002,C04,3,5,2,3,2,0.1,01-01-2025,97.686,46.59615817,2
O10094,P1002,C04,3,5,5,2,1,0,08-03-2025,54.27,21.65114619,2
O10095,P1006,C01,4,1,4,3,1,0.3,06-11-2022,37.989,14.64699694,4
O10096,P1004,C03,4,4,2,1,3,0,20-07-2024,162.81,45.72906077,3
O10097,P1006,C01,4,4,4,3,2,0,28-02-2023,108.54,47.33552296,4
O10098,P1007,C01,3,1,5,1,1,0,11-06-2025,54.27,21.02399416,2
O10099,P1007,C01,4,5,2,3,4,0.3,02-08-2023,151.956,34.46472048,1
O10100,P1006,C01,1,2,5,1,3,0.3,07-08-2024,113.967,53.06699383,1
O10101,P1007,C01,5,2,1,3,4,0.2,23-11-2022,173.664,48.00121582,5
O10102,P1004,C03,5,5,3,1,2,0.1,03-05-2023,97.686,28.25611182,1
O10103,P1001,C01,2,4,2,1,4,0.2,04-11-2022,173.664,80.03278991,3
O10104,P1006,C01,2,2,3,1,3,0.2,13-05-2025,130.248,38.22163949,5
O10105,P1005,C02,5,3,1,3,1,0.3,21-03-2024,37.989,12.50084509,3
O10106,P1005,C02,1,3,2,3,3,0.2,15-03-2025,130.248,53.88923719,4
O10107,P1002,C04,3,1,3,1,1,0.2,09-10-2023,43.416,17.65544816,4
O10108,P1007,C01,3,5,3,2,1,0.3,21-07-2023,37.989,9.501136936,1
O10109,P1005,C02,1,5,2,1,4,0,16-06-2025,217.08,93.49538003,5
O10110,P1002,C04,3,2,3,2,3,0,27-01-2025,162.81,56.3592606,3
O10111,P1001,C01,4,4,3,1,3,0.3,22-07-2024,113.967,33.69492237,3
O10112,P1004,C03,5,5,2,3,1,0.1,13-11-2024,48.843,22.51806346,2
O10113,P1004,C03,5,2,3,2,3,0.2,07-03-2025,130.248,28.69283189,1
O10114,P1004,C03,1,2,3,3,2,0,06-07-2024,108.54,45.78322543,4
O10115,P1005,C02,3,5,4,2,2,0.3,02-04-2025,75.978,30.72166807,2
O10116,P1001,C01,2,2,4,2,4,0.1,18-12-2023,195.372,58.6438908,4
O10117,P1005,C02,2,1,1,2,4,0.2,20-04-2025,173.664,82.75827774,4
O10118,P1007,C01,3,1,4,2,3,0.3,02-06-2024,113.967,35.52535937,3
O10119,P1005,C02,2,5,4,3,4,0.3,16-01-2023,151.956,34.21912541,4
O10120,P1001,C01,1,4,1,2,3,0.3,13-10-2023,113.967,48.46706901,5
O10121,P1001,C01,1,1,3,1,4,0.2,20-10-2023,173.664,67.97689696,4
O10122,P1007,C01,3,1,3,1,2,0,10-02-2025,108.54,46.70474168,5
O10123,P1001,C01,2,5,4,2,1,0.2,31-03-2025,43.416,11.0437008,4
O10124,P1001,C01,1,3,1,3,1,0.2,02-04-2025,43.416,19.52494162,2
O10125,P1004,C03,1,2,3,3,2,0,14-11-2022,108.54,42.9830914,3
O10126,P1007,C01,4,1,5,2,1,0.3,10-11-2024,37.989,12.14483461,2
O10127,P1003,C02,4,3,2,3,3,0.1,08-10-2024,146.529,55.48081306,3
O10128,P1003,C02,1,4,2,3,3,0.1,15-01-2023,146.529,70.38655404,2
O10129,P1001,C01,3,3,2,3,2,0,05-06-2025,108.54,23.41031962,1
O10130,P1003,C02,5,5,4,2,2,0,21-05-2025,108.54,43.26728582,4
O10131,P1003,C02,5,4,2,1,2,0.3,11-02-2023,75.978,27.83109365,4
O10132,P1001,C01,1,4,2,1,2,0.1,01-06-2023,97.686,43.93294992,1
O10133,P1003,C02,1,3,5,1,1,0.1,08-04-2024,48.843,11.74160948,1
O10134,P1005,C02,1,5,3,1,1,0.3,18-10-2022,37.989,15.67317353,5
O10135,P1002,C04,3,1,5,1,1,0,27-11-2022,54.27,26.81226103,2
O10136,P1007,C01,4,3,4,3,3,0,28-09-2024,162.81,65.95094866,4
O10137,P1002,C04,1,1,2,3,4,0.3,21-06-2023,151.956,31.11786797,5
O10138,P1001,C01,1,3,3,3,3,0,15-05-2024,162.81,74.23275356,4
O10139,P1004,C03,2,1,2,2,4,0.2,03-02-2024,173.664,85.20637534,1
O10140,P1007,C01,3,3,2,3,2,0,25-08-2024,108.54,35.44344643,5
O10141,P1001,C01,1,4,4,1,2,0.2,25-08-2023,86.832,33.73423513,5
O10142,P1004,C03,2,2,2,3,1,0.1,13-09-2024,48.843,12.77280644,5
O10143,P1002,C04,5,4,1,1,1,0.1,25-12-2023,48.843,13.69722178,2
O10144,P1001,C01,1,1,3,3,4,0,07-04-2023,217.08,96.46477121,5
O10145,P1007,C01,1,5,3,1,4,0.3,27-05-2025,151.956,50.23822003,4
O10146,P1007,C01,2,4,1,3,1,0,30-05-2024,54.27,26.60690936,2
O10147,P1006,C01,3,2,4,1,2,0.3,05-05-2024,75.978,27.97179695,4
O10148,P1005,C02,1,1,2,1,1,0.1,29-12-2022,48.843,13.95854954,5
O10149,P1003,C02,5,4,2,2,2,0.1,20-05-2023,97.686,36.68230063,5
O10150,P1004,C03,1,3,3,3,2,0.1,29-12-2022,97.686,45.38625933,4
O10151,P1006,C01,5,5,4,1,3,0.3,18-11-2022,113.967,54.87966051,3
O10152,P1003,C02,4,1,4,3,3,0.3,03-02-2025,113.967,27.79679805,5
O10153,P1003,C02,4,4,4,1,4,0.1,18-09-2023,195.372,45.44390075,5
O10154,P1001,C01,5,1,2,2,2,0,08-09-2023,108.54,43.09822263,2
O10155,P1003,C02,3,3,4,2,1,0.3,08-04-2023,37.989,17.12347727,4
O10156,P1005,C02,1,2,1,2,2,0.2,20-11-2022,86.832,17.92343909,5
O10157,P1007,C01,1,4,5,2,4,0.1,27-01-2023,195.372,65.69204909,4
O10158,P1006,C01,4,1,4,1,2,0.3,19-07-2024,75.978,27.12441093,2
O10159,P1003,C02,5,1,5,3,2,0.1,23-10-2024,97.686,27.10959168,4
O10160,P1001,C01,1,1,2,2,4,0.2,21-05-2023,173.664,78.03404251,4
O10161,P1005,C02,1,2,4,2,2,0,31-01-2023,108.54,35.38437463,2
O10162,P1002,C04,3,1,3,2,3,0.2,26-12-2022,130.248,30.34144002,5
O10163,P1007,C01,2,5,2,3,4,0,20-06-2025,217.08,107.0376879,4
O10164,P1007,C01,4,5,1,1,3,0,18-12-2022,162.81,48.5366059,3
O10165,P1006,C01,4,1,1,1,4,0.3,29-11-2022,151.956,50.84034641,5
O10166,P1007,C01,2,5,5,1,2,0,02-04-2024,108.54,23.31002486,2
O10167,P1003,C02,1,4,5,1,3,0,02-10-2024,162.81,68.76938868,1
O10168,P1001,C01,3,5,3,3,3,0,20-02-2024,162.81,39.45415553,3
O10169,P1007,C01,3,1,3,3,1,0.1,29-10-2024,48.843,19.89396341,5
O10170,P1007,C01,4,3,1,3,3,0.3,18-10-2024,113.967,42.28642135,2
O10171,P1002,C04,3,4,4,2,3,0.3,13-11-2022,113.967,49.69117683,3
O10172,P1002,C04,2,2,1,3,2,0,07-09-2024,108.54,26.14974934,5
O10173,P1004,C03,1,1,1,1,3,0.1,30-12-2023,146.529,64.67454535,1
O10174,P1005,C02,2,2,3,3,3,0,02-10-2023,162.81,39.44822837,5
O10175,P1003,C02,5,3,5,2,3,0.3,07-04-2025,113.967,41.40603289,1
O10176,P1007,C01,4,2,3,1,2,0.3,31-12-2022,75.978,18.95456231,1
O10177,P1007,C01,3,1,3,3,4,0.3,21-01-2024,151.956,63.92081295,4
O10178,P1001,C01,5,1,3,1,2,0.3,01-04-2024,75.978,34.9636288,2
O10179,P1004,C03,3,3,1,1,3,0.1,17-12-2023,146.529,48.86912424,4
O10180,P1005,C02,1,1,4,3,4,0.2,23-01-2023,173.664,60.29073636,1
O10181,P1004,C03,1,3,1,3,2,0.2,22-06-2023,86.832,34.12652045,2
O10182,P1006,C01,1,3,2,2,2,0.1,01-02-2025,97.686,29.41848807,2
O10183,P1005,C02,3,1,3,3,4,0,25-02-2025,217.08,102.3439184,2
O10184,P1007,C01,5,5,3,3,1,0.3,24-11-2022,37.989,11.90574035,3
O10185,P1007,C01,1,3,2,3,3,0.3,08-12-2023,113.967,49.74353799,5
O10186,P1005,C02,5,1,3,1,1,0.3,26-11-2023,37.989,17.52484361,1
O10187,P1007,C01,3,5,3,2,3,0.1,31-12-2024,146.529,33.27930689,2
O10188,P1003,C02,5,3,3,1,3,0.1,16-04-2025,146.529,53.05247607,3
O10189,P1005,C02,3,5,2,3,1,0.3,03-04-2023,37.989,10.29406694,3
O10190,P1004,C03,3,4,1,2,1,0.3,01-10-2023,37.989,17.9788611,1
O10191,P1005,C02,4,4,3,3,3,0,18-01-2023,162.81,78.59824296,4
O10192,P1007,C01,3,5,4,1,4,0.2,04-12-2024,173.664,61.05059559,3
O10193,P1003,C02,3,3,2,1,4,0.1,16-04-2023,195.372,79.19104213,1
O10194,P1003,C02,2,1,5,3,1,0.2,27-12-2024,43.416,21.6440835,3
O10195,P1006,C01,1,2,2,2,1,0.3,10-11-2023,37.989,16.90554592,1
O10196,P1004,C03,4,1,1,1,2,0.2,06-12-2023,86.832,37.71698533,2
O10197,P1002,C04,4,2,2,3,4,0.2,04-08-2023,173.664,71.80104973,4
O10198,P1002,C04,4,2,5,3,4,0.1,24-10-2023,195.372,46.25223577,3
O10199,P1005,C02,2,3,4,3,3,0.1,07-03-2025,146.529,54.77535951,3
O10200,P1006,C01,3,5,5,2,2,0,27-04-2024,108.54,32.1463225,3
O10201,P1001,C01,1,1,2,3,3,0.3,30-08-2023,113.967,56.35453575,5
O10202,P1005,C02,5,5,5,3,2,0,09-11-2022,108.54,27.76695208,5
O10203,P1006,C01,3,4,2,1,4,0.1,08-02-2024,195.372,83.59993605,2
O10204,P1004,C03,2,3,4,3,3,0,15-05-2024,162.81,66.31059206,3
O10205,P1004,C03,3,3,4,2,2,0.2,13-10-2022,86.832,42.23708805,4
O10206,P1004,C03,3,4,1,3,3,0.2,27-09-2023,130.248,49.11549551,5
O10207,P1004,C03,2,1,4,2,2,0.1,26-03-2025,97.686,23.85755561,1
O10208,P1004,C03,4,4,3,3,1,0.2,04-09-2024,43.416,16.77506203,1
O10209,P1006,C01,4,1,5,3,3,0.3,28-05-2024,113.967,25.91819493,1
O10210,P1006,C01,1,2,5,3,1,0.1,19-05-2025,48.843,11.71087702,2
O10211,P1003,C02,1,3,2,2,2,0.3,25-01-2024,75.978,36.57669944,3
O10212,P1002,C04,4,1,4,1,3,0.1,26-02-2023,146.529,59.8451422,3
O10213,P1007,C01,5,5,1,2,2,0.1,02-09-2023,97.686,22.16249247,5
O10214,P1004,C03,3,5,1,1,2,0.2,29-01-2023,86.832,42.63948897,1
O10215,P1001,C01,5,3,1,2,1,0.1,30-12-2022,48.843,13.20018779,2
O10216,P1007,C01,3,4,3,3,3,0.1,13-08-2024,146.529,33.41910439,4
O10217,P1006,C01,4,4,4,3,4,0,04-01-2025,217.08,58.36251817,3
O10218,P1001,C01,1,1,1,1,2,0.2,15-05-2024,86.832,24.03993457,3
O10219,P1001,C01,1,4,3,1,1,0.3,06-10-2024,37.989,9.383027232,2
O10220,P1001,C01,5,3,5,2,4,0.1,27-02-2024,195.372,58.66300856,5
O10221,P1003,C02,1,1,2,2,1,0.3,29-05-2025,37.989,14.17259967,2
O10222,P1006,C01,4,2,4,1,1,0,16-02-2024,54.27,26.11327687,5
O10223,P1001,C01,5,4,4,1,1,0.1,01-05-2025,48.843,12.87549182,3
O10224,P1004,C03,3,4,5,2,2,0.3,27-12-2022,75.978,17.3551917,5
O10225,P1005,C02,1,1,4,1,4,0.2,16-03-2023,173.664,60.17875462,5
O10226,P1001,C01,2,5,4,1,2,0,19-10-2024,108.54,36.93039393,5
O10227,P1003,C02,1,4,4,1,2,0,25-09-2024,108.54,41.13816922,5
O10228,P1007,C01,3,3,4,1,3,0.3,09-10-2024,113.967,27.68659785,1
O10229,P1006,C01,5,4,3,3,4,0.1,09-05-2023,195.372,96.81835467,1
O10230,P1003,C02,3,2,3,3,3,0.1,16-12-2024,146.529,45.81015767,1
O10231,P1001,C01,2,4,2,1,1,0.2,28-11-2023,43.416,9.889125884,1
O10232,P1006,C01,4,5,4,2,4,0.2,19-02-2023,173.664,81.45419942,2
O10233,P1005,C02,1,4,5,3,4,0.1,05-04-2024,195.372,41.4678318,4
O10234,P1001,C01,5,1,1,2,2,0,23-02-2023,108.54,22.76046362,5
O10235,P1003,C02,4,4,2,2,1,0.2,09-02-2024,43.416,9.597684687,2
O10236,P1002,C04,3,5,1,3,2,0.2,18-10-2023,86.832,31.36685922,1
O10237,P1004,C03,5,1,1,2,3,0,28-05-2024,162.81,62.69959614,5
O10238,P1007,C01,4,3,4,2,1,0.1,13-05-2024,48.843,14.07731841,4
O10239,P1003,C02,5,1,5,1,2,0.3,17-04-2023,75.978,30.72496639,5
O10240,P1006,C01,2,2,1,1,2,0.2,16-05-2023,86.832,41.63566215,3
O10241,P1001,C01,2,1,1,1,2,0,22-08-2023,108.54,24.91789152,3
O10242,P1004,C03,1,3,2,3,1,0.2,12-08-2023,43.416,13.43912679,2
O10243,P1001,C01,1,4,5,1,3,0,08-03-2025,162.81,71.28695284,4
O10244,P1006,C01,2,1,5,2,4,0.2,12-09-2023,173.664,85.87292868,2
O10245,P1001,C01,5,1,1,2,2,0.1,29-10-2023,97.686,27.63978578,5
O10246,P1002,C04,2,1,5,2,1,0,18-10-2022,54.27,13.25056446,4
O10247,P1004,C03,1,1,2,2,4,0.3,14-03-2025,151.956,57.4858251,2
O10248,P1004,C03,2,3,2,2,2,0.3,11-11-2024,75.978,36.14505472,5
O10249,P1006,C01,2,5,2,3,1,0.2,07-07-2024,43.416,13.2598381,1
O10250,P1007,C01,5,5,4,2,3,0.3,16-01-2025,113.967,46.83146601,5
O10251,P1002,C04,4,1,1,3,2,0.2,17-05-2024,86.832,39.66624539,2
O10252,P1003,C02,1,3,5,2,1,0,19-07-2023,54.27,18.82523368,4
O10253,P1001,C01,5,3,2,3,2,0,05-08-2024,108.54,38.58020463,4
O10254,P1005,C02,2,1,1,3,1,0.3,31-01-2025,37.989,13.10502268,1
O10255,P1001,C01,2,2,1,2,3,0.3,02-06-2023,113.967,28.81317146,2
O10256,P1001,C01,4,1,4,2,3,0.1,17-03-2024,146.529,51.96449292,1
O10257,P1003,C02,1,2,5,2,1,0,23-12-2022,54.27,12.47329882,3
O10258,P1001,C01,1,1,5,2,4,0.3,13-02-2025,151.956,37.60254765,5
O10259,P1002,C04,3,2,2,1,3,0.3,24-03-2025,113.967,34.72178058,3
O10260,P1002,C04,1,2,2,1,2,0.3,25-09-2024,75.978,36.69315287,3
O10261,P1004,C03,4,1,1,3,3,0.2,22-07-2023,130.248,31.32681695,1
O10262,P1006,C01,3,2,5,3,2,0.1,08-01-2024,97.686,22.30448722,1
O10263,P1007,C01,3,4,5,1,3,0,13-12-2024,162.81,63.08657281,5
O10264,P1005,C02,2,5,2,3,3,0.3,06-01-2025,113.967,38.99431872,1
O10265,P1001,C01,2,3,3,2,2,0.3,22-03-2024,75.978,31.58358345,1
O10266,P1001,C01,1,2,1,3,3,0.3,27-11-2022,113.967,56.48034707,1
O10267,P1003,C02,3,2,5,3,2,0.2,14-06-2025,86.832,30.92649163,1
O10268,P1006,C01,2,3,4,3,2,0,26-12-2024,108.54,50.05781311,1
O10269,P1002,C04,4,2,4,1,3,0.3,05-11-2024,113.967,50.71560982,3
O10270,P1005,C02,2,3,3,1,3,0.3,12-11-2022,113.967,40.54794928,3
O10271,P1004,C03,2,1,2,3,2,0.2,27-05-2025,86.832,20.82999803,5
O10272,P1002,C04,3,4,2,2,1,0.2,10-01-2024,43.416,10.70682838,4
O10273,P1006,C01,3,4,2,3,3,0.1,20-06-2025,146.529,30.84134678,5
O10274,P1007,C01,5,5,4,1,4,0.1,17-12-2022,195.372,69.39531666,2
O10275,P1004,C03,4,2,2,2,3,0,27-12-2023,162.81,54.44322882,5
O10276,P1007,C01,3,5,4,3,1,0.1,05-02-2025,48.843,12.37511303,5
O10277,P1003,C02,1,1,3,1,1,0,28-05-2025,54.27,15.74361721,1
O10278,P1003,C02,4,4,1,2,3,0.1,19-03-2025,146.529,65.22787785,1
O10279,P1001,C01,4,1,5,3,3,0.3,06-10-2024,113.967,43.36986541,1
O10280,P1007,C01,3,1,3,1,4,0.1,29-05-2023,195.372,43.22648724,4
O10281,P1006,C01,4,2,4,2,3,0.3,06-06-2025,113.967,51.98739836,1
O10282,P1005,C02,3,1,3,3,1,0,13-06-2025,54.27,23.72646887,2
O10283,P1004,C03,2,4,5,2,4,0.1,05-01-2024,195.372,74.20267389,3
O10284,P1002,C04,5,5,1,2,3,0.1,17-01-2024,146.529,31.94885496,2
O10285,P1006,C01,2,4,5,2,4,0.1,17-03-2024,195.372,91.01493661,4
O10286,P1006,C01,3,2,4,1,4,0.3,15-11-2023,151.956,45.30071092,1
O10287,P1003,C02,3,4,5,3,1,0.3,09-10-2024,37.989,17.48873923,5
O10288,P1007,C01,2,3,3,2,1,0.1,01-06-2025,48.843,16.73603878,3
O10289,P1001,C01,1,5,2,2,2,0,17-06-2025,108.54,36.79841888,4
O10290,P1001,C01,1,3,3,2,1,0.3,27-01-2023,37.989,18.50870305,2
O10291,P1004,C03,1,3,4,1,2,0.2,09-11-2024,86.832,18.5616132,1
O10292,P1003,C02,3,2,1,2,1,0,14-06-2024,54.27,14.00237696,4
O10293,P1006,C01,4,1,5,1,1,0,22-02-2025,54.27,22.20423074,4
O10294,P1005,C02,3,3,1,1,2,0,27-03-2025,108.54,50.01661181,5
O10295,P1003,C02,4,4,4,2,2,0.3,04-04-2023,75.978,30.11099208,5
O10296,P1004,C03,2,1,5,2,2,0.1,26-03-2024,97.686,22.63551039,5
O10297,P1004,C03,5,4,3,1,4,0.1,13-11-2024,195.372,89.9092021,2
O10298,P1003,C02,4,4,3,1,2,0.2,20-06-2023,86.832,34.31642932,5
O10299,P1004,C03,1,1,4,2,4,0.1,11-10-2024,195.372,68.71402678,4
O10300,P1003,C02,3,1,5,1,4,0.2,27-01-2024,173.664,85.1187534,4
O10301,P1002,C04,2,4,3,1,2,0.2,15-03-2023,86.832,36.433829,4
O10302,P1003,C02,1,2,4,2,2,0.1,04-05-2023,97.686,31.38747224,3
O10303,P1007,C01,2,5,4,2,2,0.2,30-03-2023,86.832,34.97685225,3
O10304,P1003,C02,5,5,1,3,1,0,28-01-2025,54.27,12.96197531,2
O10305,P1004,C03,3,2,3,2,1,0,03-06-2024,54.27,11.88352222,5
O10306,P1007,C01,3,1,5,2,2,0,25-07-2023,108.54,39.89248122,4
O10307,P1004,C03,5,4,3,2,3,0.3,27-12-2022,113.967,38.79366674,5
O10308,P1001,C01,3,5,3,3,2,0.2,27-07-2023,86.832,26.98369693,4
O10309,P1001,C01,4,4,3,1,3,0.2,13-04-2024,130.248,39.15769492,3
O10310,P1007,C01,2,2,4,2,1,0,26-07-2023,54.27,26.10509741,4
O10311,P1002,C04,1,4,2,2,1,0.3,28-09-2023,37.989,18.38273164,2
O10312,P1001,C01,5,2,2,3,3,0.1,19-05-2025,146.529,35.2143911,1
O10313,P1003,C02,4,1,1,3,1,0,03-09-2023,54.27,23.55526321,4
O10314,P1004,C03,1,2,3,3,2,0.3,11-03-2025,75.978,24.67524963,2
O10315,P1001,C01,1,2,2,1,3,0.1,19-10-2023,146.529,45.80473911,3
O10316,P1001,C01,5,5,1,3,3,0.3,19-12-2022,113.967,51.36044991,3
O10317,P1002,C04,4,4,4,1,4,0.1,18-01-2023,195.372,53.04760315,1
O10318,P1007,C01,1,5,3,2,1,0.2,05-11-2024,43.416,10.42923151,5
